stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,A+B+C+D+E,外資+投信
2383,10,10,6,10,10,6,10,10,10,10,10,10,10,9,9,10,10,10,1,10,9,4,台光電,"['印刷電路板', '印刷電路板:銅箔基板', '太空衛星科技', '太空衛星科技:低軌衛星']",50,13
3416,10,10,8,9,3,3,9,10,10,9,7,9,7,9,9,6,9,7,1,8,1,10,融程電,"['觸控面板', '觸控面板:觸控面板', '電腦及週邊設備', '電腦及週邊設備:工業電腦']",30,11
4714,10,10,10,5,9,4,5,6,4,8,4,2,2,10,10,9,10,9,2,10,10,6,永捷,"['建材營造', '建材營造:建設業', '石化及塑橡膠', '石化及塑橡膠:人造纖維', '石化及塑橡膠:塑膠製品', '石化及塑橡膠:接著劑(合成樹脂)', '食品', '食品:原物料']",33,16
8488,8,10,8,8,2,9,8,7,7,5,4,2,2,3,3,8,3,5,3,6,9,6,無資料,無資料,21,15
8422,8,10,6,10,7,2,9,10,9,1,2,1,2,1,1,3,2,2,5,8,9,9,可寧衛,"['其他', '其他:環保潔能服務產業']",16,18
4168,7,10,8,3,2,2,9,5,8,7,10,7,6,7,7,5,3,6,5,6,2,6,醣聯,"['製藥', '製藥:中、西藥製劑']",29,8
6603,9,10,4,10,9,6,8,10,9,8,6,3,3,2,2,2,3,5,2,10,1,6,富強鑫,"['電機機械', '電機機械:專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等)']",25,7
2905,3,10,3,7,1,8,8,7,6,4,10,9,10,7,7,9,8,2,2,10,10,6,三商,"['貿易百貨', '貿易百貨:零售通路']",32,16
6187,10,10,9,10,10,9,10,10,10,9,10,9,10,9,9,10,10,10,3,10,1,2,萬潤,"['其他', '其他:其他電子產品及電子服務產業']",50,3
3522,6,10,5,3,8,9,5,3,3,9,8,10,10,9,9,10,9,10,4,2,2,6,御頂,"['食品', '食品:餐飲連鎖']",46,8
3346,8,10,9,10,7,7,9,10,10,4,4,5,3,5,5,4,5,5,8,10,2,5,麗清,"['LED照明產業', 'LED照明產業:封裝_模組', 'LED照明產業:燈具_應用']",23,7
5309,10,7,7,9,6,5,9,9,10,9,4,9,4,8,8,4,9,6,10,6,1,6,系統電,"['能源元件', '能源元件:電池模組', '電腦及週邊設備', '電腦及週邊設備:其他電腦及週邊設備']",24,7
6190,10,10,6,10,9,7,9,10,9,8,4,8,3,8,8,6,9,8,4,8,10,6,萬泰科,"['太空衛星科技', '太空衛星科技:低軌衛星', '通信網路', '通信網路:線材']",30,16
2239,6,10,6,8,1,2,8,9,10,5,8,5,10,4,4,10,4,2,6,7,8,6,英利-KY,"['汽車', '汽車:保險桿', '汽車:其他']",31,14
3023,10,10,9,9,3,4,9,10,9,9,1,7,2,10,10,2,10,3,3,8,3,8,信邦,"['LED照明產業', 'LED照明產業:燈具_應用', '太陽能產業', '太陽能產業:太陽能發電設備_系統及系統工程', '平面顯示器', '平面顯示器:其他零組件', '通信網路', '通信網路:線材', '連接器', '連接器:連接器設計、組裝及製造', '電動車輛產業', '電動車輛產業:大功率鋰電池芯_模組、電池管理系統、動力馬達等零組件', '電腦及週邊設備', '電腦及週邊設備:連接線', '風力發電', '風力發電:其他配件']",11,11
5351,9,4,8,3,9,9,4,3,2,2,10,2,7,2,2,7,2,6,4,9,1,5,鈺創,"['人工智慧', '人工智慧:系統整合', '人工智慧:電腦視覺', '人工智慧:領域解決方案', '元宇宙', '元宇宙:高速傳輸', '半導體', '半導體:記憶體IC', '體驗科技', '體驗科技:AR Smart Glasses', '體驗科技:CPU', '體驗科技:GPU', '體驗科技:HPU', '體驗科技:IC', '體驗科技:MR Headset & SG', '體驗科技:SLAM', '體驗科技:SoC', '體驗科技:VR Headset', '體驗科技:使用者感知', '體驗科技:其他', '體驗科技:感測器_模組', '體驗科技:手勢_動作', '體驗科技:深度感測', '體驗科技:環境感知', '體驗科技:處理器_IC', '體驗科技:視覺', '體驗科技:觸覺', '體驗科技:語音', '體驗科技:頭顯裝置品牌廠']",39,6
3388,7,10,10,7,7,5,7,8,6,5,7,2,8,2,2,8,2,8,1,7,1,6,崇越電,"['LED照明產業', 'LED照明產業:生產製程、檢測設備及原物料', '印刷電路板', '印刷電路板:玻璃纖維_玻纖布', '印刷電路板:銅箔', '平面顯示器', '平面顯示器:擴散膜、增亮膜、導光板', '建材營造', '建材營造:建材原料', '能源元件', '能源元件:原材料', '觸控面板', '觸控面板:膠材', '通信網路', '通信網路:其他零組件', '通信網路:線材', '食品', '食品:原物料', '食品生技', '食品生技:原料']",38,7
4739,7,10,6,6,3,2,7,7,7,9,10,7,8,8,8,9,5,2,3,3,4,6,康普,"['石化及塑橡膠', '石化及塑橡膠:PTA(對苯二甲酸)觸媒', '石化及塑橡膠:接著劑(合成樹脂)', '紡織', '紡織:化學助劑', '能源元件', '能源元件:原材料', '被動元件', '被動元件:濾波器、振盪器材料(鉭酸鋰／鈮酸鋰晶圓／片、石英基板、金屬及陶瓷封裝材料)', '電動車輛產業', '電動車輛產業:鋰電池材料']",32,10
6469,9,10,9,10,6,1,9,10,10,9,4,8,6,8,8,6,8,3,7,10,8,6,大樹,"['製藥', '製藥:藥品代理銷售及通路', '醫療器材', '醫療器材:醫療院所、醫療器材專賣店、藥局等通路', '食品生技', '食品生技:保健食品代理銷售及通路']",25,14
6591,9,10,6,7,2,2,8,8,8,7,3,7,8,8,8,9,6,9,9,7,2,5,動力-KY,"['電腦及週邊設備', '電腦及週邊設備:散熱片、風扇馬達、散熱模組']",31,7
6283,7,7,4,7,4,5,7,8,8,3,3,5,6,4,4,7,4,5,5,6,4,6,淳安,"['汽車', '汽車:其他', '電腦及週邊設備', '電腦及週邊設備:其他電腦及週邊設備之零組件']",25,10
6477,9,10,5,7,2,8,7,6,6,4,1,1,1,2,2,2,2,2,7,8,2,5,安集,"['太陽能產業', '太陽能產業:太陽能電廠', '太陽能產業:太陽能電池模組']",8,7
2065,10,10,9,8,8,2,9,9,9,7,2,7,2,9,9,3,8,3,8,9,3,6,世豐,"['鋼鐵', '鋼鐵:螺絲螺帽']",18,9
3207,10,10,9,10,9,4,9,10,10,9,2,7,3,6,6,3,7,4,8,10,2,6,耀勝,"['被動元件', '被動元件:電感器']",21,8
4175,7,10,9,10,7,9,9,10,10,5,4,2,2,1,1,1,1,2,4,9,9,6,杏一,"['製藥', '製藥:藥品代理銷售及通路', '醫療器材', '醫療器材:醫療器材代理', '醫療器材:醫療器材代理銷售及通路', '醫療器材:醫療院所、醫療器材專賣店、藥局等通路', '食品生技', '食品生技:保健食品代理銷售及通路']",16,15
1586,8,10,8,8,9,7,8,8,9,7,10,7,8,8,8,8,7,3,3,8,9,6,和勤,"['電機機械', '電機機械:機械設備之沖壓零組件', '電機機械:車用機械傳動設備及零配件', '電腦及週邊設備', '電腦及週邊設備:其他電腦及週邊設備之零組件', '電腦及週邊設備:金屬、塑膠模具']",38,15
