date,發行量加權股價報酬指數,sharpe,sharpe_MA_20,sharpe_MA_60,sharpe_MA_100
2003-06-10,4836.72,,,,
2003-06-11,4809.13,,,,
2003-06-12,4885.75,,,,
2003-06-13,4889.4,,,,
2003-06-16,4899.87,,,,
2003-06-17,4980.94,,,,
2003-06-18,5006.85,,,,
2003-06-19,5061.21,,,,
2003-06-20,5016.5,,,,
2003-06-23,4936.68,,,,
2003-06-24,4924.38,,,,
2003-06-25,4949.43,,,,
2003-06-26,4914.01,,,,
2003-06-27,4898.51,,,,
2003-06-30,4893.09,,,,
2003-07-01,5039.5,,,,
2003-07-02,5118.63,,,,
2003-07-03,5127.98,,,,
2003-07-04,5184.93,,,,
2003-07-07,5358.12,,,,
2003-07-08,5405.35,,,,
2003-07-09,5397.29,,,,
2003-07-10,5320.67,,,,
2003-07-11,5281.05,,,,
2003-07-14,5392.41,,,,
2003-07-15,5379.52,,,,
2003-07-16,5458.43,,,,
2003-07-17,5344.72,,,,
2003-07-18,5333.57,,,,
2003-07-21,5264.97,,,,
2003-07-22,5312.5,,,,
2003-07-23,5340.36,,,,
2003-07-24,5471.64,,,,
2003-07-25,5463.95,,,,
2003-07-28,5522.17,,,,
2003-07-29,5412.91,,,,
2003-07-30,5397.33,,,,
2003-07-31,5410.09,,,,
2003-08-01,5485.0,,,,
2003-08-04,5474.0,,,,
2003-08-05,5356.63,,,,
2003-08-06,5323.03,,,,
2003-08-07,5359.72,,,,
2003-08-08,5332.94,,,,
2003-08-11,5315.29,,,,
2003-08-12,5358.0,,,,
2003-08-13,5549.25,,,,
2003-08-14,5544.46,,,,
2003-08-15,5601.92,,,,
2003-08-18,5631.38,,,,
2003-08-19,5628.52,,,,
2003-08-20,5661.22,,,,
2003-08-21,5731.82,,,,
2003-08-22,5767.41,,,,
2003-08-25,5808.6,,,,
2003-08-26,5677.25,,,,
2003-08-27,5672.49,,,,
2003-08-28,5642.65,,,,
2003-08-29,5773.21,,,,
2003-09-01,5815.18,,,,
2003-09-02,5839.97,,,,
2003-09-03,5796.57,,,,
2003-09-04,5748.07,,,,
2003-09-05,5762.31,,,,
2003-09-08,5852.28,,,,
2003-09-09,5805.09,,,,
2003-09-10,5747.19,,,,
2003-09-12,5769.52,,,,
2003-09-15,5747.37,,,,
2003-09-16,5825.12,,,,
2003-09-17,5874.21,,,,
2003-09-18,5877.97,,,,
2003-09-19,5885.31,,,,
2003-09-22,5801.33,,,,
2003-09-23,5809.77,,,,
2003-09-24,5848.98,,,,
2003-09-25,5814.08,,,,
2003-09-26,5775.12,,,,
2003-09-29,5768.37,,,,
2003-09-30,5735.57,,,,
2003-10-01,5705.16,,,,
2003-10-02,5826.0,,,,
2003-10-03,5874.99,,,,
2003-10-06,5980.69,,,,
2003-10-07,5986.29,,,,
2003-10-08,5950.64,,,,
2003-10-09,5999.79,,,,
2003-10-13,6104.94,,,,
2003-10-14,6070.14,,,,
2003-10-15,6055.78,,,,
2003-10-16,6169.64,,,,
2003-10-17,6176.78,,,,
