date,發行量加權股價報酬指數,DX_ffn
2003-01-02,4524.92,102.9800033569336
2003-01-03,4626.36,102.47000122070312
2003-01-06,4690.26,101.97000122070312
2003-01-07,4701.48,102.56999969482422
2003-01-08,4837.35,101.87000274658203
2003-01-09,4814.24,101.94000244140625
2003-01-10,4851.31,101.2300033569336
2003-01-13,4991.79,101.47000122070312
2003-01-14,4992.95,101.20999908447266
2003-01-15,5018.23,101.33999633789062
2003-01-16,4943.81,100.79000091552734
2003-01-17,4908.3,100.55000305175781
2003-01-20,4951.56,
2003-01-21,4946.39,100.2300033569336
2003-01-22,4993.8,100.2300033569336
2003-01-23,5079.34,99.86000061035156
2003-01-24,5057.86,99.22000122070312
2003-01-27,4973.12,99.26000213623047
2003-01-28,5015.69,99.4800033569336
2003-02-06,4834.09,99.45999908447266
2003-02-07,4735.87,99.56999969482422
2003-02-10,4644.36,100.2699966430664
2003-02-11,4619.47,100.38999938964844
2003-02-12,4625.36,100.51000213623047
2003-02-13,4508.43,99.58999633789062
2003-02-14,4494.46,100.04000091552734
2003-02-17,4705.58,
2003-02-18,4605.8,100.52999877929688
2003-02-19,4551.32,100.0
2003-02-20,4551.19,99.55000305175781
2003-02-21,4548.83,100.08999633789062
2003-02-24,4609.69,99.66000366210938
2003-02-25,4454.82,99.83000183105469
2003-02-26,4457.16,99.62000274658203
2003-02-27,4432.93,99.80999755859375
2003-03-03,4527.17,99.0999984741211
2003-03-04,4500.17,99.12999725341797
2003-03-05,4418.58,98.27999877929688
2003-03-06,4397.91,98.30999755859375
2003-03-07,4351.05,98.04000091552734
2003-03-10,4320.45,97.8499984741211
2003-03-11,4260.9,97.98999786376953
2003-03-12,4328.61,98.16000366210938
2003-03-13,4379.45,99.55000305175781
2003-03-14,4476.64,99.98999786376953
2003-03-17,4358.45,100.73999786376953
2003-03-18,4540.2,100.86000061035156
2003-03-19,4515.55,101.58000183105469
2003-03-20,4599.74,101.1500015258789
2003-03-21,4587.41,101.91999816894531
2003-03-24,4571.16,100.9800033569336
2003-03-25,4499.3,100.87000274658203
2003-03-26,4496.53,100.61000061035156
2003-03-27,4514.72,100.63999938964844
2003-03-28,4477.49,99.95999908447266
2003-03-31,4321.68,99.05999755859375
2003-04-01,4338.07,99.1500015258789
2003-04-02,4312.02,100.08000183105469
2003-04-03,4358.86,100.33999633789062
2003-04-04,4499.65,100.44999694824219
2003-04-07,4576.31,101.04000091552734
2003-04-08,4552.93,100.52999877929688
2003-04-09,4537.87,100.16000366210938
2003-04-10,4541.84,99.81999969482422
2003-04-11,4530.88,100.18000030517578
2003-04-14,4460.29,99.95999908447266
2003-04-15,4488.07,99.76000213623047
2003-04-16,4609.81,99.05999755859375
2003-04-17,4567.58,99.30000305175781
2003-04-18,4659.24,
2003-04-21,4649.06,99.58999633789062
2003-04-22,4557.02,98.7300033569336
2003-04-23,4565.86,98.77999877929688
2003-04-24,4375.83,98.33000183105469
2003-04-25,4234.4,98.36000061035156
2003-04-28,4140.34,98.66999816894531
2003-04-29,4201.17,98.0199966430664
2003-04-30,4148.91,97.19000244140625
2003-05-02,4188.67,96.76000213623047
2003-05-05,4202.99,96.37000274658203
2003-05-06,4221.72,95.33999633789062
2003-05-07,4277.2,95.58000183105469
2003-05-08,4192.52,94.93000030517578
2003-05-09,4245.46,94.9800033569336
2003-05-12,4262.3,94.55000305175781
2003-05-13,4335.9,94.72000122070312
2003-05-14,4342.41,94.58000183105469
2003-05-15,4332.54,95.22000122070312
2003-05-16,4285.06,94.08000183105469
2003-05-19,4257.08,93.77999877929688
2003-05-20,4253.66,93.26000213623047
2003-05-21,4218.7,93.54000091552734
2003-05-22,4273.53,93.55999755859375
2003-05-23,4351.79,93.05000305175781
2003-05-26,4467.9,
2003-05-27,4453.43,92.72000122070312
2003-05-28,4476.75,93.44999694824219
2003-05-29,4545.61,92.70999908447266
2003-05-30,4558.47,93.2699966430664
2003-06-02,4696.37,93.33999633789062
2003-06-03,4681.5,93.52999877929688
2003-06-05,4741.81,92.5199966430664
2003-06-06,4744.03,93.4800033569336
2003-06-09,4830.86,93.30000305175781
2003-06-10,4836.72,93.55999755859375
2003-06-11,4809.13,92.97000122070312
2003-06-12,4885.75,92.9000015258789
2003-06-13,4889.4,92.22000122070312
2003-06-16,4899.87,92.4000015258789
2003-06-17,4980.94,92.61000061035156
2003-06-18,5006.85,93.16999816894531
2003-06-19,5061.21,93.16000366210938
2003-06-20,5016.5,94.04000091552734
2003-06-23,4936.68,94.08000183105469
2003-06-24,4924.38,94.38999938964844
2003-06-25,4949.43,94.12000274658203
2003-06-26,4914.01,94.97000122070312
2003-06-27,4898.51,95.1500015258789
2003-06-30,4893.09,94.7300033569336
2003-07-01,5039.5,94.30000305175781
2003-07-02,5118.63,94.12000274658203
2003-07-03,5127.98,94.41000366210938
2003-07-04,5184.93,94.55000305175781
2003-07-07,5358.12,95.51000213623047
2003-07-08,5405.35,95.81999969482422
2003-07-09,5397.29,95.58999633789062
2003-07-10,5320.67,95.38999938964844
2003-07-11,5281.05,95.80000305175781
2003-07-14,5392.41,96.06999969482422
2003-07-15,5379.52,96.06999969482422
2003-07-16,5458.43,96.72000122070312
2003-07-17,5344.72,96.86000061035156
2003-07-18,5333.57,96.86000061035156
2003-07-21,5264.97,96.11000061035156
2003-07-22,5312.5,96.37999725341797
2003-07-23,5340.36,95.44000244140625
2003-07-24,5471.64,95.33999633789062
2003-07-25,5463.95,94.95999908447266
2003-07-28,5522.17,95.05999755859375
2003-07-29,5412.91,95.33000183105469
