date,PR5,PR25,PR50,PR75,PR95,平均數,sharpe,sharpe_MA_20,sharpe_MA_60
2010-03-29,98.795,106.5,116.0,141.2,216.09999999999988,132.55488372093023,,,
2010-03-30,98.83000000000001,106.5,115.5,141.0,219.3999999999997,132.65046511627907,,,
2010-03-31,98.8225,106.45,115.775,140.825,218.89999999999992,132.74883177570092,,,
2010-04-01,98.8225,106.5,116.0,140.0,220.2999999999999,132.80841121495328,,,
2010-04-02,98.84,106.5,116.05,142.75,216.79999999999995,133.16682242990655,,,
2010-04-06,98.73,106.5,116.5,140.0,223.5999999999999,133.33403755868545,,,
2010-04-07,98.82000000000001,107.0,117.0,140.55,227.7999999999996,133.8600938967136,,,
2010-04-08,98.82000000000001,106.65,116.6,143.2,229.59999999999968,134.16150234741784,,,
2010-04-09,98.7475,106.8,116.975,143.7,230.29999999999984,134.5122641509434,,,
2010-04-12,98.67500000000001,107.0,116.85,143.25,231.0,135.01611374407582,,,
2010-04-13,98.7,107.0,117.3,141.25,231.0,134.65639810426538,,,
2010-04-14,98.77000000000001,106.925,117.2,141.875,230.29999999999984,134.4252358490566,,,
2010-04-15,98.77000000000001,108.0,118.25,142.875,230.29999999999984,135.07240566037734,,,
2010-04-16,98.77000000000001,108.0,118.55,145.375,227.54999999999978,135.42358490566036,,,
2010-04-19,98.6,106.5,116.0,140.8,226.59999999999957,133.98661971830987,,,
2010-04-20,98.65,106.6,116.0,142.45,220.14999999999995,133.79999999999998,,,
2010-04-21,99.0125,107.1,116.0,141.22500000000002,215.04999999999998,133.29859813084113,,,
2010-04-22,99.10000000000001,107.2,116.15,143.475,216.29999999999998,133.5567441860465,,,
2010-04-23,98.925,107.0,116.3,142.325,216.25,133.80856481481482,,,
2010-04-26,98.875,108.0,116.9,142.325,216.25,134.0648148148148,,,
2010-04-27,99.2125,107.975,117.0,142.325,216.0,134.16087962962962,,,
2010-04-28,99.025,107.80000000000001,117.0,142.4375,216.0,134.1150462962963,,,
2010-04-29,99.025,107.9,117.5,144.75,218.99999999999983,134.90558139534883,,,
2010-04-30,98.55499999999999,107.65,116.6,144.65,218.99999999999983,134.40441860465114,,,
2010-05-03,98.27000000000001,107.2,116.0,140.5,217.9999999999999,133.1827188940092,,,
2010-05-04,98.26,107.5,115.0,140.0,217.9999999999999,133.19078341013827,,,
2010-05-05,97.94,106.55,114.8,137.65,217.9999999999999,131.90599078341015,,,
2010-05-06,97.925,106.05,114.85,135.9875,217.49999999999977,130.98211009174312,,,
2010-05-07,97.4925,105.9625,114.0,135.3,217.49999999999977,130.5084862385321,,,
2010-05-10,97.585,106.275,114.0,135.75,217.49999999999977,130.9479357798165,,,
2010-05-11,97.89,106.4,114.45,135.5,216.99999999999994,131.09383561643833,,,
2010-05-12,97.995,106.2,114.05,135.0,216.0,130.9961187214612,,,
2010-05-13,97.995,106.5,115.0,138.325,216.39999999999998,131.64406392694065,,,
2010-05-14,97.57249999999999,106.7375,115.25,138.2875,216.19999999999993,131.69386363636363,,,
2010-05-17,97.97,106.5,114.225,138.275,219.04999999999998,131.4268181818182,,,
2010-05-18,98.2,106.5,114.0,136.05,216.0,131.15656108597284,,,
2010-05-19,98.1,106.5,114.0,135.5,216.0,131.0545248868778,,,
2010-05-20,98.005,106.0,113.95,134.2,215.89999999999998,130.03986486486485,,,
2010-05-21,98.10499999999999,104.14999999999999,112.0,133.33749999999998,215.89999999999998,128.8599099099099,,,
2010-05-24,98.315,104.69999999999999,112.0,133.0,215.89999999999998,128.7385135135135,,,
2010-05-25,98.2075,104.1,110.725,130.0,215.89999999999998,127.94391891891892,,,
2010-05-26,98.3,104.45,110.5,129.0,214.0,127.31470588235295,,,
2010-05-27,98.4525,104.5,111.225,130.0,213.95,127.67184684684685,,,
2010-05-28,98.6,104.75,111.75,130.72500000000002,213.95,128.12590090090092,,,
2010-05-31,99.0,104.5,111.9,133.0,213.95,128.434009009009,,,
2010-06-01,98.61999999999999,104.6,111.5,132.75,213.95,128.35968468468468,,,
2010-06-02,99.0,104.5,111.325,133.0,213.95,128.25022522522525,,,
2010-06-03,99.1,104.57499999999999,111.7,133.0,213.85,128.39174107142858,,,
2010-06-04,99.1,104.6,112.0,133.2625,213.85,128.5924107142857,,,
2010-06-07,99.11999999999999,104.05,111.5,133.0,213.79999999999998,127.94955555555556,,,
2010-06-08,99.3,104.3,111.3,132.75,213.75,127.88650442477875,,,
2010-06-09,99.1875,103.9625,111.0,130.0,213.75,127.45044247787611,,,
2010-06-10,99.1875,104.23750000000001,111.25,130.0,213.75,127.51415929203539,,,
2010-06-11,99.17500000000001,104.5,111.65,131.5875,213.75,127.80221238938053,,,
2010-06-14,99.325,104.5,111.5,132.0,213.75,128.16703539823007,,,
2010-06-15,99.35,104.525,111.75,131.9,213.75,128.22853982300884,,,
2010-06-17,99.3375,104.6,111.55,132.85,213.75,128.3471238938053,,,
2010-06-18,99.5,104.6,112.0,132.5,213.7,128.26784140969164,,,
2010-06-21,99.5,104.9,112.0,132.0,213.7,128.49735682819383,,,
2010-06-22,99.5,105.0,112.0,132.5,214.0,128.6072052401747,,,
2010-06-23,99.5,105.0,112.0,132.0,214.0,128.54,,,
2010-06-24,99.5,105.0,112.0,132.0,214.0,128.61060606060605,,,
2010-06-25,99.5,104.975,112.0,132.0,214.0,128.27435344827586,,,
2010-06-28,99.5,105.0,112.0,132.0,214.0,128.47510917030567,,,
2010-06-29,99.545,105.0,112.0,130.75,214.0,128.18934782608696,,,
2010-06-30,99.5,105.0,112.0,128.3,213.54999999999998,126.75130434782608,,,
2010-07-01,99.55,104.625,111.0,128.2,213.5,126.45627705627706,,,
2010-07-02,99.55,104.825,111.0,129.05,213.5,126.58961038961037,,,
2010-07-05,99.55,105.0,111.5,130.25,213.5,126.9,,,
2010-07-06,99.55499999999999,105.07499999999999,112.0,130.125,213.45,127.14568965517243,,,
2010-07-07,99.55499999999999,105.33749999999999,112.0,130.25,214.0,127.40754310344828,,,
2010-07-08,99.57,105.375,112.6,130.0,214.0,127.43680851063829,,,
2010-07-09,99.6,105.225,113.0,129.5,214.0,127.4042372881356,,,
2010-07-12,99.6,105.575,113.0,129.5,214.0,127.67563559322035,,,
2010-07-13,99.6,105.5625,112.75,129.25,214.0,127.62817796610169,,,
2010-07-14,99.6,105.5,113.0,129.25,214.0,127.88432203389831,,,
2010-07-15,99.635,105.85,113.0,129.5,214.0,127.97723404255318,,,
2010-07-16,99.635,105.9,112.65,129.0,214.0,128.01659574468087,,,
2010-07-19,99.6275,106.0,112.80000000000001,129.125,214.0,128.1717672413793,,,
2010-07-20,99.6275,106.45,113.0,129.125,214.0,128.33577586206894,,,
2010-07-21,99.6275,106.5,113.0,129.625,214.45,128.73706896551724,,,
2010-07-22,99.6,106.5,113.0,130.0,214.45,128.83146551724138,,,
2010-07-23,99.6,106.5375,113.4,130.25,217.24999999999994,129.35797413793102,,,
2010-07-26,99.6,107.0,113.0,131.5,216.9999999999999,129.74356223175965,,,
2010-07-27,99.63,107.0,113.0,131.4,216.9999999999999,129.87811158798286,,,
2010-07-28,99.63,107.5,113.5,132.0,216.39999999999986,129.62167381974248,,,
2010-07-29,99.63,107.65,113.8,132.5,218.39999999999975,129.6989270386266,,,
2010-07-30,99.63,107.3,113.5,131.9,218.39999999999975,129.60257510729613,,,
2010-08-02,99.6275,107.25,113.15,132.125,214.0,128.93189655172415,,,
2010-08-03,99.63,107.2,113.3,132.0,214.0,129.1315450643777,,,
2010-08-04,99.59,108.0,114.0,136.0,214.0,129.61759656652362,,,
2010-08-05,99.63250000000001,107.625,113.5,134.52499999999998,214.0,129.3311965811966,,,
2010-08-06,99.635,107.7,113.5,134.6,214.0,129.48617021276596,,,
2010-08-09,99.635,108.0,113.4,134.5,214.0,129.80574468085106,,,
2010-08-10,99.6375,108.0,113.0,135.0,214.0,129.47033898305085,,,
2010-08-11,99.6375,107.975,113.15,135.1375,214.0,129.375,,,
2010-08-12,99.685,108.0,113.65,136.0,214.0,129.39808510638298,,,
2010-08-13,99.65,108.19999999999999,114.0,136.0,214.0,129.9555319148936,,,
2010-08-16,99.65,108.05,114.0,135.75,214.0,130.2340425531915,,,
2010-08-17,99.65,108.14999999999999,114.0,134.60000000000002,213.35,129.85085470085468,,,
2010-08-18,99.635,108.05,114.0,135.4,213.29999999999998,129.9372340425532,,,
2010-08-19,99.635,108.15,114.8,136.0,213.29999999999998,130.21106382978724,,,
2010-08-20,99.6375,108.0,114.475,136.0,213.25,130.24110169491527,,,
2010-08-23,99.64,108.1,115.0,136.5,213.2,130.97510548523206,,,
2010-08-24,99.64,108.3,115.0,137.0,214.0,131.28417721518986,,,
2010-08-25,99.65,108.1,114.9,136.0,214.0,131.07236286919832,,,
2010-08-26,99.65,108.0,114.0,135.9,214.0,130.45738396624472,,,
2010-08-27,99.69,108.0,114.0,135.3,214.0,130.21962025316455,,,
2010-08-30,99.64,107.5,114.0,133.0,214.0,129.953164556962,,,
2010-08-31,99.64,106.0,112.5,129.05,213.2,128.04324894514767,,,
2010-09-01,99.64,106.8,112.7,129.0,213.2,128.02088607594936,,,
2010-09-02,99.65,106.675,112.95,128.025,213.1,128.04644351464435,,,
2010-09-03,99.7,107.0,113.0,128.1,213.0,128.1078838174274,,,
2010-09-06,99.7,107.0,114.0,129.0,214.0,128.61390041493777,,,
2010-09-07,99.7,107.05,114.0,130.5,214.0,128.89585062240664,,,
2010-09-08,99.7,107.0,114.0,131.0,213.89999999999998,128.76131687242798,,,
2010-09-09,99.655,107.025,114.0,131.0,213.89999999999998,128.55226337448562,,,
2010-09-10,99.65,107.025,113.5,130.75,213.89999999999998,128.62489711934157,,,
2010-09-13,99.655,107.225,114.0,130.25,213.89999999999998,128.90390946502058,,,
2010-09-14,99.655,107.475,114.1,131.5,213.89999999999998,129.25925925925927,,,
2010-09-15,99.655,107.8,114.5,132.2,213.89999999999998,129.66358024691357,,,
2010-09-16,99.65,107.5,114.5,131.0,213.79999999999998,129.53714285714284,,,
2010-09-17,99.7125,108.0,115.0,132.75,213.75,129.70873983739838,,,
2010-09-20,99.71000000000001,108.0,115.0,133.0,214.0,130.30448979591836,,,
2010-09-21,99.71000000000001,108.3,115.0,133.5,214.0,130.4942857142857,,,
2010-09-23,99.71000000000001,108.3,114.95,132.5,214.0,130.80897959183673,,,
2010-09-24,99.75,108.0625,114.75,133.5625,214.0,130.7121900826446,,,
2010-09-27,99.75,108.025,114.6,132.275,214.0,130.5627572016461,,,
2010-09-28,99.75,108.0,114.325,131.5875,214.0,130.2495867768595,,,
2010-09-29,99.75,108.0,114.7,131.97500000000002,214.0,130.42438016528925,,,
2010-09-30,99.75,108.3,115.0,133.0,214.0,130.68340248962656,,,
2010-10-01,99.795,108.19999999999999,115.0,132.675,214.89999999999995,130.82008368200837,,,
2010-10-04,99.74,108.0,115.0,131.55,214.0,130.1652719665272,,,
2010-10-05,99.745,108.0,114.67500000000001,131.25,214.0,129.99145833333333,,,
2010-10-06,99.69250000000001,108.0125,114.45,130.8,214.0,129.8111344537815,,,
2010-10-07,99.69250000000001,108.075,114.475,131.0,214.0,130.0857142857143,,,
2010-10-08,99.69250000000001,108.0,114.0,130.375,214.0,130.01134453781512,,,
2010-10-11,99.69500000000001,107.95,113.45,128.0,214.0,129.56610878661087,,,
2010-10-12,99.69500000000001,107.82499999999999,113.0,128.15,214.0,129.29623430962343,,,
2010-10-13,99.64500000000001,107.975,113.0,128.975,214.0,129.40711297071127,,,
2010-10-14,99.635,108.0,113.5,130.5,214.0,129.68012552301255,,,
2010-10-15,99.5,108.0,112.875,129.325,214.0,129.24936974789915,,,
2010-10-18,99.69250000000001,107.0,112.0,127.83749999999999,214.0,128.4686974789916,,,
2010-10-19,99.69250000000001,107.0,112.0,127.375,214.0,128.43004201680674,,,
2010-10-20,99.69250000000001,107.0,112.425,129.35000000000002,214.0,128.71050420168066,,,
2010-10-21,99.69250000000001,107.125,112.425,129.475,214.0,128.96617647058824,,,
2010-10-22,99.69250000000001,107.0,112.175,130.7875,214.14999999999998,128.6731092436975,,,
2010-10-25,99.69500000000001,107.5,112.2,130.3,214.1,128.7489539748954,,,
2010-10-26,99.785,107.525,113.0,129.75,214.7499999999999,129.0876050420168,,,
2010-10-27,99.775,107.7875,112.975,130.10000000000002,215.0,128.94661016949152,,,
2010-10-28,99.69,107.5,113.0,129.0,214.79999999999995,128.77447257383966,,,
2010-10-29,99.69,108.0,112.5,127.0,214.79999999999995,128.64894514767934,,,
2010-11-01,99.6975,107.8375,112.0,125.6625,214.19999999999993,127.89333333333335,,,
2010-11-02,99.7,107.0,112.0,122.4,214.0,127.41390041493776,,,
2010-11-03,99.5,106.5,111.1,120.95,214.0,126.64232365145227,,,
2010-11-04,99.65,106.7,111.0,120.35,214.0,126.66286307053942,,,
2010-11-05,99.6525,106.9625,111.65,120.44999999999999,214.0,126.9685950413223,,,
2010-11-08,99.50750000000001,106.5,111.0,120.0,214.0,127.00723140495867,,,
2010-11-09,99.505,106.125,111.0,120.3375,214.0,126.99545454545455,,,
2010-11-10,99.5,106.0,111.5,120.80000000000001,214.0,127.22417355371901,,,
2010-11-11,99.5,106.5375,111.525,121.0,213.4999999999999,127.26342975206612,,,
2010-11-12,99.5,106.65,111.5,121.0,205.0,127.2155601659751,,,
2010-11-15,99.50750000000001,106.5,111.0,120.8875,213.5499999999999,127.03326446280991,,,
2010-11-16,99.50750000000001,106.0,111.0,120.825,213.79999999999995,126.95082644628098,,,
2010-11-17,99.60249999999999,106.0,111.0,119.83749999999999,213.69999999999993,126.86404958677687,,,
2010-11-18,99.655,106.075,111.0,121.35,213.5999999999999,126.81954732510289,,,
2010-11-19,99.6525,106.0,111.1,121.0,213.79999999999995,126.82582644628098,,,
2010-11-22,99.60249999999999,105.8125,111.05,121.875,213.84999999999997,127.00454545454545,,,
2010-11-23,99.6525,106.0,111.5,122.11250000000001,213.84999999999997,126.95371900826446,,,
2010-11-24,99.6525,106.0,111.35,121.85,213.95,126.9210743801653,,,
2010-11-25,99.60499999999999,106.0,111.3,121.625,213.89999999999998,126.80349794238683,,,
