stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,S+A+B+C+D+E,外資+投信
6486,8.0,2.0,9.0,7.0,10.0,10.0,5.0,6.0,5.0,9.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,10.0,7.0,5.0,6.0,互動,"['軟體服務', '軟體服務:系統整合服務', '通信網路', '通信網路:光通訊設備(如光纖電纜、光傳輸設備)', '通信網路:無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒)', '通信網路:網路設備(如數據機、網路卡、閘道器、路由器、網路電話)']",39.0,11.0
2065,8.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,8.0,4.0,8.0,8.0,4.0,8.0,5.0,10.0,5.0,6.0,6.0,世豐,"['鋼鐵', '鋼鐵:螺絲螺帽']",29.0,12.0
1341,8.0,3.0,3.0,5.0,2.0,1.0,5.0,5.0,5.0,4.0,6.0,7.0,5.0,5.0,5.0,4.0,7.0,5.0,10.0,6.0,7.0,6.0,無資料,無資料,30.0,13.0
1582,8.0,6.0,,8.0,8.0,3.0,8.0,8.0,8.0,6.0,9.0,8.0,10.0,6.0,6.0,8.0,9.0,9.0,6.0,6.0,10.0,6.0,信錦,"['電腦及週邊設備', '電腦及週邊設備:機構樞紐', '電腦及週邊設備:金屬、塑膠模具']",52.0,16.0
6578,3.0,3.0,2.0,2.0,5.0,7.0,2.0,2.0,2.0,2.0,9.0,2.0,6.0,1.0,1.0,1.0,1.0,10.0,6.0,1.0,8.0,6.0,達邦蛋白,"['食品', '食品:原物料']",34.0,14.0
1514,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,4.0,8.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,4.0,9.0,10.0,6.0,亞力,"['汽電共生', '汽電共生:配電系統', '電機機械', '電機機械:機電系統工程', '風力發電', '風力發電:電力系統']",49.0,16.0
4306,2.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,4.0,4.0,5.0,4.0,6.0,6.0,6.0,5.0,6.0,9.0,10.0,10.0,6.0,炎洲,"['石化及塑橡膠', '石化及塑橡膠:塑膠製品']",31.0,16.0
8466,7.0,3.0,5.0,6.0,9.0,9.0,6.0,5.0,5.0,4.0,4.0,6.0,8.0,3.0,3.0,2.0,2.0,2.0,6.0,5.0,6.0,6.0,無資料,無資料,32.0,12.0
2383,10.0,9.0,,10.0,9.0,4.0,10.0,10.0,10.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,5.0,9.0,10.0,1.0,台光電,"['印刷電路板', '印刷電路板:銅箔基板', '太空衛星科技', '太空衛星科技:低軌衛星']",52.0,11.0
6290,8.0,7.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,6.0,8.0,3.0,6.0,良維,"['連接器', '連接器:連接器設計、組裝及製造']",50.0,9.0
1532,6.0,9.0,10.0,9.0,4.0,5.0,9.0,9.0,9.0,5.0,9.0,8.0,10.0,6.0,6.0,9.0,7.0,10.0,6.0,10.0,8.0,10.0,勤美,"['休閒娛樂', '休閒娛樂:娛樂服務業', '休閒娛樂:旅館服務業', '建材營造', '建材營造:建材原料', '建材營造:建設業', '貿易百貨', '貿易百貨:零售通路', '電機機械', '電機機械:鋼鑄鐵元件']",48.0,18.0
3010,9.0,8.0,9.0,10.0,6.0,4.0,10.0,10.0,10.0,2.0,7.0,5.0,6.0,4.0,4.0,6.0,10.0,7.0,9.0,9.0,2.0,6.0,華立,"['半導體', '半導體:IC通路', '半導體:化學品', '太陽能產業', '太陽能產業:矽晶圓_矽晶片', '平面顯示器', '平面顯示器:其他零組件', '平面顯示器:化學品(如光阻劑、靶材等)', '連接器', '連接器:塑膠材料', '電腦及週邊設備', '電腦及週邊設備:其他電腦及週邊設備之零組件']",41.0,8.0
4714,1.0,6.0,8.0,2.0,4.0,10.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,7.0,3.0,4.0,2.0,8.0,2.0,6.0,永捷,"['建材營造', '建材營造:建設業', '石化及塑橡膠', '石化及塑橡膠:人造纖維', '石化及塑橡膠:塑膠製品', '石化及塑橡膠:接著劑(合成樹脂)', '食品', '食品:原物料']",20.0,8.0
8147,8.0,1.0,,4.0,5.0,8.0,3.0,3.0,3.0,9.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,6.0,2.0,4.0,6.0,正淩,"['連接器', '連接器:連接器設計、組裝及製造']",40.0,10.0
2034,4.0,9.0,9.0,9.0,5.0,1.0,9.0,9.0,9.0,2.0,4.0,5.0,6.0,2.0,2.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,允強,"['鋼鐵', '鋼鐵:不鏽鋼型鋼', '鋼鐵:冷熱軋不鏽鋼板捲', '鋼鐵:裁剪加工', '鋼鐵:製管']",21.0,15.0
1815,2.0,9.0,,6.0,2.0,2.0,6.0,6.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,8.0,1.0,6.0,富喬,"['印刷電路板', '印刷電路板:玻璃纖維_玻纖布']",8.0,7.0
2462,6.0,7.0,,7.0,5.0,7.0,7.0,7.0,7.0,4.0,9.0,7.0,10.0,8.0,8.0,9.0,8.0,10.0,4.0,6.0,9.0,6.0,良得電,"['連接器', '連接器:連接器設計、組裝及製造']",49.0,15.0
3047,2.0,8.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,6.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,9.0,8.0,1.0,6.0,訊舟,"['通信網路', '通信網路:網路設備(如數據機、網路卡、閘道器、路由器、網路電話)']",12.0,7.0
3028,5.0,8.0,,10.0,6.0,5.0,10.0,10.0,10.0,2.0,6.0,4.0,6.0,3.0,3.0,8.0,7.0,9.0,10.0,10.0,9.0,6.0,增你強,"['半導體', '半導體:IC通路', '電腦及週邊設備', '電腦及週邊設備:隨身碟、記憶卡讀卡機']",40.0,15.0
6156,4.0,4.0,2.0,6.0,4.0,7.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,5.0,3.0,7.0,4.0,6.0,4.0,7.0,6.0,松上,"['印刷電路板', '印刷電路板:硬板、軟板、IC載板製造', '被動元件', '被動元件:電感器']",26.0,13.0
3324,10.0,5.0,,9.0,4.0,3.0,9.0,9.0,9.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,10.0,8.0,4.0,8.0,1.0,1.0,雙鴻,"['電腦及週邊設備', '電腦及週邊設備:散熱片、風扇馬達、散熱模組']",45.0,2.0
6203,9.0,5.0,3.0,6.0,6.0,9.0,6.0,6.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,7.0,2.0,6.0,海韻電,"['電腦及週邊設備', '電腦及週邊設備:電源供應器']",50.0,8.0
3512,5.0,5.0,8.0,4.0,10.0,1.0,6.0,6.0,6.0,5.0,10.0,9.0,10.0,7.0,7.0,9.0,8.0,10.0,10.0,9.0,3.0,6.0,皇龍,"['建材營造', '建材營造:建設業', '運動科技', '運動科技:裝置_器材零組件', '電腦及週邊設備', '電腦及週邊設備:散熱片、風扇馬達、散熱模組']",54.0,9.0
